k,retriever,db_id,question,ground_truth,generated_sql,exact_match,syntax_valid,exec_status,exec_match,latency,input_tokens,output_tokens,tokens
0,qrs,cordis_temporary,Find the total cost of the project Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',SELECT SUM(total_cost) FROM projects WHERE acronym = 'Theseus';,False,True,Match,True,19.153982639312744,1488.0,200.0,1688
0,qrs,cordis_temporary,Show total cost of project with title Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',SELECT SUM(total_cost) FROM projects WHERE title = 'Theseus';,False,True,Match,True,19.220489501953125,1488.0,200.0,1688
0,qrs,cordis_temporary,Show me the acronyms of projects that started in 2018,SELECT acronym FROM projects WHERE start_year = 2018,SELECT acronym FROM projects WHERE start_year = 2018;,True,True,Match,True,18.96415114402771,1496.0,200.0,1696
0,qrs,cordis_temporary,Get acronyms of projects beginning in 2018,SELECT acronym FROM projects WHERE start_year = 2018,SELECT acronym FROM projects WHERE start_year = 2018;,True,True,Match,True,19.18907356262207,1493.0,200.0,1693
0,qrs,cordis_temporary,Show me the titles of projects that started before 2016,SELECT title FROM projects WHERE start_year < 2016,SELECT title FROM projects WHERE start_year < 2016;,True,True,Match,True,19.319965839385983,1493.0,200.0,1693
0,qrs,cordis_temporary,Find titles of projects which started earlier than 2016,SELECT title FROM projects WHERE start_year < 2016,SELECT title FROM projects WHERE start_year < 2016;,True,True,Match,True,19.319154500961304,1492.0,200.0,1692
0,qrs,cordis_temporary,Find institutions from the region of Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',SELECT * FROM institutions WHERE geocode_regions_3 = 'DK-DK-00010';,False,True,Shape Mismatch,False,19.6185359954834,1489.0,200.0,1689
0,qrs,cordis_temporary,Show the name of institutions based in Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',SELECT institutions.institutions_name FROM institutions WHERE geocode_regions_3 = 'DK-DKN';,False,True,Shape Mismatch,False,19.588050365448,1490.0,200.0,1690
0,qrs,cordis_temporary,Find the name of principal investigators in projects that started in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,"SELECT p.principal_investigator, p.title
FROM projects p
JOIN people pi ON p.principal_investigator = pi.unics_id
WHERE p.start_year = 2014;",False,True,Shape Mismatch,False,19.660086154937744,1496.0,200.0,1696
0,qrs,cordis_temporary,Show the full name of people being investigators in projects that began in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,"SELECT people.full_name
FROM people
JOIN project_members ON people.unics_id = project_members.member_role
JOIN projects ON project_members.project = projects.unics_id
WHERE project_members.member_role = 'Investigator'
AND EXTRACT(YEAR FROM projects.start_date) = 2014;",False,True,SQL Error: (psycopg2.errors.UndefinedFunction) operator does not exist: integer = text,False,19.68804621696472,1498.0,200.0,1698
0,qrs,cordis_temporary,Find projects whose subject area is “Mathematics and Statistics”,SELECT t1.title FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics',"SELECT p.unics_id, p.title, p.ec_ref, p.start_date, p.end_date FROM projects p JOIN subject_areas sa ON p.ec_fund_scheme = 'Mathematics and Statistics';",False,True,Shape Mismatch,False,19.867116689682007,1492.0,200.0,1692
0,qrs,cordis_temporary,Show the acronym and subject area description of projects with subject area “Mathematics and Statistics”,"SELECT t1.acronym, sa.description FROM projects AS T1 join project_subject_areas as psa on T1.unics_id = psa.project join subject_areas as sa on psa.subject_area = sa.code WHERE sa.title = 'Mathematics and Statistics'","SELECT p.acronym, s.title
FROM projects p
JOIN project_subject_areas ps ON p.unics_id = ps.project
JOIN subject_areas s ON ps.subject_area = s.code
WHERE s.title = 'Mathematics and Statistics';",False,True,Value Mismatch,False,19.9643132686615,1500.0,200.0,1700
0,qrs,cordis_temporary,Find all different topics of projects that ended in 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,"SELECT DISTINCT t.topic
FROM topics t
JOIN project_topics pt ON t.code = pt.topic
JOIN projects p ON pt.project = p.unics_id
WHERE p.end_date BETWE0 2014-01-01 AND p.end_date < 2015-01-01;",False,False,"SQL Error: (psycopg2.errors.SyntaxError) syntax error at or near ""BETWE0""",False,20.289483308792114,1493.0,200.0,1693
0,qrs,cordis_temporary,Find distinct titles of topics of projects that with end year 2014,SELECT distinct t.title FROM projects AS T1 join project_topics as pt on T1.unics_id = pt.project join topics as t on pt.topic = t.code where t1.end_year = 2014,SELECT DISTINCT title FROM topics WHERE code IN (SELECT topic FROM project_topics WHERE project IN (SELECT unics_id FROM projects WHERE end_year = 2014));,False,True,Match,True,20.064773321151733,1495.0,200.0,1695
0,qrs,cordis_temporary,Show the acronym of projects with a member from Greece,Select p.acronym from projects as p join project_members as pm on p.unics_id = pm.project join institutions as i on pm.institution_id = i.unics_id join countries as c on i.country_id = c.unics_id where c.country_name = 'Greece',"SELECT p.acronym
FROM projects p
JOIN project_members pm ON p.unics_id = pm.project
JOIN institutions i ON pm.institution_id = i.unics_id
WHERE i.country_id = (SELECT unics_id FROM countries WHERE country_name = 'Greece');",False,True,Match,True,20.043981075286865,1491.0,200.0,1691
0,qrs,cordis_temporary,Show names of institutions from France or Germany,Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name = 'France' or c.country_name = 'Germany',SELECT institutions_name FROM institutions WHERE country_id IN (SELECT unics_id FROM countries WHERE country_name = 'France' OR country_name = 'Germany');,False,True,Match,True,19.903438806533813,1487.0,200.0,1687
0,qrs,cordis_temporary,Show names of institutions which are not from France,Select i.institutions_name from institutions as i join countries as c on i.country_id = c.unics_id where c.country_name != 'France',SELECT institutions_name FROM institutions WHERE country_id != (SELECT unics_id FROM countries WHERE country_name = 'France');,False,True,Match,True,19.978020668029785,1488.0,200.0,1688
0,qrs,cordis_temporary,Count the projects that started in 2016,Select count(p.unics_id) from projects as p where start_year = 2016,SELECT COUNT(*) FROM projects WHERE start_year = 2016;,False,True,Match,True,20.000290155410767,1490.0,200.0,1690
0,qrs,cordis_temporary,Show the title of the project with the highest total cost,Select p.title from projects as p where total_cost = (select max(p2.total_cost) from projects as p2),SELECT title FROM projects ORDER BY total_cost DESC LIMIT 1;,False,True,Match,True,20.10535979270935,1490.0,200.0,1690
0,qrs,cordis_temporary,Show the name of members in projects costing less than the average project cost.,SELECT T1.member_name FROM project_members AS T1 JOIN projects AS T2 ON T1.project = T2.unics_id WHERE T2.total_cost < (SELECT AVG(T23.total_cost) FROM projects AS T23),"SELECT p.title AS project_name, m.member_name
FROM projects p
JOIN project_members m ON p.unics_id = m.project
WHERE p.total_cost < (SELECT AVG(total_cost) FROM projects);",False,True,Shape Mismatch,False,19.951149940490723,1495.0,200.0,1695
0,qrs,cordis_temporary,Find the id of projects with at least 100 members,select p.unics_id from projects as p join project_members as pm on p.unics_id = pm.project group by p.unics_id having count(p.unics_id) >= 100,SELECT p.unics_id FROM projects p JOIN project_members pm ON p.unics_id = pm.project WHERE (SELECT COUNT(*) FROM project_members WHERE project = p.unics_id) >= 100;,False,True,Timeout (>5s),False,20.06886124610901,1492.0,200.0,1692
0,qrs,cordis_temporary,Find the code and title of the funding scheme which funded the highest number of projects.,"select s.code, s.title from funding_schemes as s where s.code = (select s2.code from funding_schemes as s2 join projects as p on s2.code = p.ec_fund_scheme group by s2.code order by count(*) desc LIMIT 1)","SELECT f.code, f.title FROM funding_schemes f JOIN project_members pm ON f.code = pm.ec_fund_scheme WHERE pm.ec_fund_scheme IS NOT NULL GROUP BY f.code, f.title ORDER BY COUNT(pm.project) DESC LIMIT 1;",False,True,SQL Error: (psycopg2.errors.UndefinedColumn) column pm.ec_fund_scheme does not exist,False,19.926527738571167,1498.0,200.0,1698
0,qrs,cordis_temporary,Show the total costs of all projects,SELECT sum(total_cost) FROM projects,SELECT SUM(total_cost) AS total_cost_sum FROM projects;,False,True,Match,True,20.126856803894043,1486.0,200.0,1686
0,qrs,cordis_temporary,Show me the title of projects which have an end year and a start year after 2006,select title from projects where start_year > 2006 and end_year > 2006,SELECT title FROM projects WHERE end_year > 2006 AND start_year > 2006;,False,True,Match,True,20.230124950408936,1500.0,200.0,1700
0,qrs,cordis_temporary,Find the projects which lasted the longest and have an end year and a start year,"select title, end_year - start_year from projects order by end_year - start_year desc limit 1","SELECT projects.unics_id, projects.title, projects.start_year, projects.end_year, projects.total_cost
FROM projects
WHERE projects.start_year IS NOT NULL AND projects.end_year IS NOT NULL
ORDER BY projects.end_year - projects.start_year DESC
LIMIT 1;",False,True,Shape Mismatch,False,19.932196140289307,1496.0,200.0,1696
0,qrs,cordis_temporary,Show me topic titles which starts with 'Raw materials',select title from topics where title like 'Raw materials%',SELECT title FROM topics WHERE title LIKE 'Raw materials%';,True,True,Match,True,20.084187984466556,1490.0,200.0,1690
0,qrs,cordis_temporary,Show me topic titles which contain the word 'climate',select title from topics where title like '%climate%',SELECT title FROM topics WHERE title LIKE '%climate%';,True,True,Match,True,19.897165298461918,1491.0,200.0,1691
0,qrs,cordis_temporary,Show me the number of projects where Thomas Bell was principal investigator,select count(*) from projects as p join people as peep on p.principal_investigator = peep.unics_id where peep.full_name = 'Thomas Bell',SELECT COUNT(*) FROM projects JOIN people ON projects.principal_investigator = people.unics_id WHERE people.full_name = 'Thomas Bell';,False,True,Match,True,20.213126182556152,1492.0,200.0,1692
0,qrs,cordis_temporary,Show me the all different names of people,select distinct full_name from people,SELECT DISTINCT full_name FROM people;,True,True,Match,True,19.845420837402344,1487.0,200.0,1687
0,qrs,cordis_temporary,Find the acronym of projects which have total costs between 100000 and 200000,select p.acronym from projects as p where p.total_cost between 100000 and 200000,SELECT acronym FROM projects WHERE total_cost BETWEEN 100000 AND 200000;,False,True,Match,True,20.10658073425293,1506.0,200.0,1706
